data size,seconds
10000,0.0243282
20000,0.0502609
30000,0.08382
40000,0.11771
50000,0.152656
60000,0.190097
70000,0.230759
80000,0.271336
90000,0.315492
100000,0.364527
110000,0.393805
120000,0.441209
130000,0.489799
140000,0.566529
150000,0.615918
160000,0.677629
170000,0.729421
180000,0.794372
190000,0.853061
200000,0.907791
210000,0.968518
220000,1.01978
230000,1.09091
240000,1.15558
250000,1.21813
260000,1.2685
270000,1.32285
280000,1.38398
290000,1.47321
300000,1.53534
310000,1.59861
320000,1.63948
330000,1.72251
340000,1.79323
350000,1.87104
360000,1.94029
370000,2.02311
380000,2.0946
390000,2.1381
400000,2.21458
410000,2.29367
420000,2.36441
430000,2.43801
440000,2.51735
450000,2.58285
460000,2.6831
470000,2.72597
480000,2.81796
490000,2.90195
500000,2.96705
510000,3.05765
520000,3.14109
530000,3.15219
540000,3.19701
550000,3.26934
560000,3.35693
570000,3.39353
580000,3.50901
590000,3.58926
600000,3.66982
610000,3.76598
620000,3.86244
630000,3.88632
640000,3.97744
650000,4.04608
660000,4.14042
670000,4.29755
680000,4.41391
690000,4.45759
700000,4.57417
710000,4.63217
720000,4.7221
730000,4.81437
740000,4.87256
750000,4.95492
760000,5.0371
770000,5.16271
780000,5.17034
790000,5.3514
800000,5.3918
810000,5.44917
820000,5.56945
830000,5.60698
840000,5.72302
850000,5.74668
860000,5.86229
870000,5.90377
880000,5.99728
890000,6.07538
900000,6.22052
910000,6.31669
920000,6.36781
930000,6.42409
940000,6.52793
950000,6.66348
960000,6.70331
970000,6.7441
980000,6.90719
990000,7.25189
